plot,stems,FIRE,MPB,UNK,OPF,LIVE,DC1,DC2,DC3,DC4,full,live,none,partial,DBH_mean,scorch_mean,height_mean,cones_mean,Plot_ID,vis_FE,UTM_E,UTM_N,Fire_id,Burndate,Terrain_SD,temp,rh,ws,precip,ffmc,dmc,dc,isi,bui,fwi,PFM,GV.sur,char.sur,soil.sur,litter.sur,rock.sur,dwood.sur,cwd.sur,other.sur,deadveg.sur,duff.dpth,seed.sub,seed.quad,elevation,aspect,slope
48,10,0.0,70.0,0.0,20.0,10.0,0.0,60.0,40.0,0.0,0.0,40.0,50.0,10.0,17.1,24.0,1.6,99.5,BA0731M1,moderate,319308,5910787,R10070_2014,217,-0.13,25,31.6,12.4,0,93.4,81.3,428.4,12.9,110.3,39,90.0,16.25,51.5,15.75,16.5,0,0,0,0,0,1.1,0,1,887,55,0
49,12,8.3,66.7,0.0,25.0,0.0,8.3,91.7,0.0,0.0,50.0,41.7,8.3,0.0,16.2,7.3,1.3,122.9,BA0731L1,low,319308,5910632,R10070_2014,217,-0.54,25,31.6,12.4,0,93.4,81.3,428.4,12.9,110.3,39,91.7,20.25,42,8.75,20,7,0,0,0,0,0.6,0.25,3,901,90,0.5
5,24,37.5,0.0,0.0,62.5,0.0,37.5,0.0,62.5,0.0,16.7,20.8,62.5,0.0,11.4,99.9,11.9,66.0,CEC0702H1,high,334541,5905225,R10070_2014,214,-0.06,27.2,27.7,2.4,0,94,67.5,405.2,8.4,95.3,27.4,62.5,26.25,47,25,0,1.75,0,0,0,0,0.6,3.75,NA,989,227,0
50,20,15.0,45.0,0.0,40.0,0.0,10.0,70.0,20.0,0.0,30.0,35.0,35.0,0.0,12.9,36.1,2.9,20.2,BA0801M1,moderate,318975,5910701,R10070_2014,218,0.00,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,85.0,15,25.5,19.25,38,2,0.25,0,0,0,0.7,0.75,19,917,82,2
51,15,0.0,80.0,0.0,20.0,0.0,0.0,46.7,53.3,0.0,0.0,26.7,73.3,0.0,17.8,55.7,3.1,1.4,BA0803M1,moderate,319014,5910397,R10070_2014,218,-0.11,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,100.0,58.75,29,0,11.75,0,0.5,0,0,0,1.7,0.25,7.5,900,90,0
52,11,18.2,54.5,0.0,27.3,0.0,18.2,0.0,81.8,0.0,9.1,18.2,72.7,0.0,13.5,92.5,7.4,19.4,TL0807M2,moderate,692861,5907193,R10252_2013,259,-0.06,16.6,50,16.4,13.6,60.5,25.6,348.9,1.0,43.2,2.3,81.8,18.75,10.5,43.5,18.25,6.75,2.25,0,0,0,1.0,0.75,4.5,966,183,1.5
53,12,16.7,8.3,0.0,75.0,0.0,16.7,16.7,66.7,0.0,0.0,16.7,83.3,0.0,14.2,85.2,4.5,6.4,TL0807M1,moderate,692665,5907055,R10252_2013,259,-0.56,16.6,50,16.4,13.6,60.5,25.6,348.9,1.0,43.2,2.3,83.3,25,8.25,48.75,0.5,17.5,0,0,0,0,0.2,4,23,954,195,0
54,13,0.0,76.9,7.7,15.4,0.0,46.2,30.8,23.1,0.0,23.1,46.2,30.8,0.0,14.3,25.2,2.6,22.0,TL0808L1,low,693377,5906833,R10252_2013,259,0.11,16.6,50,16.4,13.6,60.5,25.6,348.9,1.0,43.2,2.3,92.3,26.25,19.75,1.25,40.25,1.75,2,0,0,8.75,2.3,0,5,950,290,10
55,19,31.6,31.6,10.5,5.3,21.1,68.4,31.6,0.0,0.0,31.6,47.4,0.0,21.1,13.3,5.1,0.7,73.8,TL0809L1,low,693472,5906910,R10252_2013,259,-0.30,16.6,50,16.4,13.6,60.5,25.6,348.9,1.0,43.2,2.3,36.8,27.75,20,0.25,51.5,0,0.5,0,0,0,1.6,0.5,5,942,110,10
56,11,36.4,9.1,9.1,45.5,0.0,27.3,18.2,54.5,0.0,0.0,45.5,54.5,0.0,15.4,94.5,7.9,8.2,TL0809H1,high,693076,5906911,R10252_2013,259,-0.22,16.6,50,16.4,13.6,60.5,25.6,348.9,1.0,43.2,2.3,54.5,15.5,16.25,58,0,5.25,5,0,0,0,0.5,0.5,9.5,947,145,0
57,18,44.4,16.7,0.0,38.9,0.0,44.4,0.0,55.6,0.0,5.6,38.9,55.6,0.0,15.8,97.2,8.9,35.0,TL0809H2,high,692392,5906843,R10252_2013,259,0.06,16.6,50,16.4,13.6,60.5,25.6,348.9,1.0,43.2,2.3,55.6,38.75,39.25,10.25,1,8.75,2,0,0,0,0.4,0.75,13,954,155,5
58,18,38.9,0.0,0.0,61.1,0.0,22.2,27.8,50.0,0.0,22.2,27.8,50.0,0.0,9.9,95.0,9.2,34.7,TL0810H1,high,690964,5906302,R10252_2013,257,-0.02,27.8,24,5.9,0,93.8,47.6,386.9,9.9,72.8,26.7,61.1,11.5,41.25,23.25,3.75,15.5,4.75,0,0,0,0.8,0.666666667,19,964,180,8
59,31,22.6,38.7,6.5,32.3,0.0,32.3,58.1,9.7,0.0,19.4,61.3,19.4,0.0,12.8,15.6,1.6,45.1,TL0810L1,low,691033,5906111,R10252_2013,257,-0.11,27.8,24,5.9,0,93.8,47.6,386.9,9.9,72.8,26.7,71.0,41.25,17.75,1.25,36.5,3.25,0,0,0,0,1.3,1,12.5,954,125,4
6,20,20.0,30.0,0.0,50.0,0.0,30.0,60.0,10.0,0.0,30.0,20.0,50.0,0.0,11.7,24.3,1.6,37.8,CEC0703M1,low,333922,5906030,R10070_2014,222,0.11,23.3,41,10.1,0,87,75.6,460.5,4.6,107.2,19,80.0,52,18,1.25,23.75,0,0,0.5,0,0,1.1,0,NA,1028,264,5
60,20,45.0,20.0,0.0,35.0,0.0,40.0,25.0,35.0,0.0,45.0,20.0,35.0,0.0,11.4,62.0,4.9,33.5,TL0810M1,moderate,691200,5906288,R10252_2013,257,0.11,27.8,24,5.9,0,93.8,47.6,386.9,9.9,72.8,26.7,55.0,21.25,11.25,5.25,44.25,18,0,0,0,0,1.2,1,21.5,962,115,8
61,8,62.5,25.0,0.0,0.0,12.5,75.0,0.0,25.0,0.0,62.5,0.0,25.0,12.5,14.0,30.4,1.1,10.6,TL0811L1,low,693759,5907023,R10252_2013,259,-0.17,16.6,50,16.4,13.6,60.5,25.6,348.9,1.0,43.2,2.3,25.0,45,13.25,0,33,2,0.5,0,0,6.25,1.4,0,1.5,928,83,0
62,26,38.5,23.1,0.0,38.5,0.0,30.8,7.7,61.5,0.0,0.0,30.8,69.2,0.0,11.8,95.0,7.6,16.8,TL0811M1,moderate,693552,5907108,R10252_2013,259,-0.19,16.6,50,16.4,13.6,60.5,25.6,348.9,1.0,43.2,2.3,61.5,25.75,46.5,12,1,5.5,9.25,0,0,0,0.7,3,46,939,65,1
63,15,13.3,6.7,0.0,80.0,0.0,13.3,0.0,86.7,0.0,6.7,6.7,86.7,0.0,17.1,98.5,8.3,80.0,TL0811H1,high,693582,5907372,R10252_2013,259,-0.09,16.6,50,16.4,13.6,60.5,25.6,348.9,1.0,43.2,2.3,86.7,19,17.75,61,0,2.25,0,0,0,0,0.3,0.666666667,8.5,970,140,0
7,6,0.0,83.3,0.0,16.7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,22.4,100.0,12.5,0.0,CEC0705H1,high,334510,5904882,R10070_2014,214,0.06,27.2,27.7,2.4,0,94,67.5,405.2,8.4,95.3,27.4,100.0,45,51,3.75,0.25,0,0,0,0,0,1.2,1,NA,960,234,20
8,11,0.0,45.5,0.0,54.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,13.2,100.0,12.4,0.0,CEC0705H2,high,334391,5904692,R10070_2014,213,-0.06,27.3,21.2,1.8,0,93.9,62.6,397.3,8.1,89.8,25.9,100.0,45,50,2,0,0.5,2.5,0,0,0,1.0,1.5,NA,949,188,2
9,14,0.0,14.3,0.0,85.7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,13.5,100.0,11.4,0.0,CEC0705H3,high,335119,5904973,R10070_2014,213,0.07,27.3,21.2,1.8,0,93.9,62.6,397.3,8.1,89.8,25.9,100.0,43.75,36.75,17.75,0,1.75,0,0,0,0,0.7,1.5,NA,985,146,2
