plot.mpb,plot,date,plot.id,tree.id,species,live.dead,j.gal,exit.hole,dbh,scorch.height,bole.scorch,cl.deep.char,killed.by,mortality,canopy.str,cone.op.cl,cone.ct,snag.cwd,preb.ld,preb.sd,pref.ld,pref.sd,postf.ld,postf.sd
ML23,23,7/11/2016,EF0711L1,,pigl,D,,,16,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
ML23,23,7/11/2016,EF0711L1,,pigl,D,,,18,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
ML23,23,7/11/2016,EF0711L1,,pigl,D,,,17.5,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
ML23,23,7/11/2016,EF0711L1,,pigl,D,,,18,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
HL24,24,7/11/2016,EF0711L2,SW4,pico,D,N,N,15.5,0.1,0.5,1,FIRE,FIRE,full,both,5,snag,live,stand,live,stand,dead,stand
HL24,24,7/11/2016,EF0711L2,NW2,pico,D,N,N,12.5,2,5,1,FIRE,FIRE,full,closed,100,snag,live,stand,live,stand,dead,stand
HL24,24,7/11/2016,EF0711L2,,pigl,D,,,18.5,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
LH25,25,7/12/2016,EF0712H1,NW2,pico,D,N,N,9,8,100,1,FIRE,FIRE,partial,open,5,snag,live,stand,live,stand,dead,stand
LH25,25,7/12/2016,EF0712H1,,pigl,D,,,16,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
MH26,26,7/13/2016,EF0713H1,NE1,pico,D,N,Y,13.5,12,100,1,FIRE,FIRE,full,open,210,snag,live,stand,live,stand,dead,stand
MH26,26,7/13/2016,EF0713H1,SW1,pico,D,N,N,13,14,100,1,FIRE,FIRE,full,open,50,snag,live,stand,live,stand,dead,stand
MH26,26,7/13/2016,EF0713H1,SW2,pico,D,N,N,13,14,100,1,FIRE,FIRE,partial,open,200,snag,live,stand,live,stand,dead,stand
MH26,26,7/13/2016,EF0713H1,SE4,pico,D,O,Y,11.5,11,100,1,FIRE,FIRE,full,open,200,snag,live,stand,live,stand,dead,stand
MH26,26,7/13/2016,EF0713H1,NW5,pico,D,N,N,9.5,4,100,1,FIRE,FIRE,none,none,0,snag,live,stand,live,stand,dead,stand
MH26,26,7/13/2016,EF0713H1,NW4,pico,D,N,N,8.5,14,100,2,FIRE,FIRE,partial,open,40,snag,live,stand,live,stand,dead,stand
MH26,26,7/13/2016,EF0713H1,,pigl,D,,,11,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
